CountyName,2021,2022,2023
".La Paz County, Arizona",16575,16391,16506
".Maricopa County, Arizona",4440232,4494693,4551524
".Mohave County, Arizona",214176,216957,220816
".Navajo County, Arizona",106762,107621,108650
".Pima County, Arizona",1045175,1048895,1057597
".Pinal County, Arizona",429446,448144,464154
".Santa Cruz County, Arizona",47705,48034,48759
".Yavapai County, Arizona",237216,242193,246191
".Yuma County, Arizona",204528,206241,207842
".Arkansas County, Arkansas",17107,16683,16512
".Ashley County, Arkansas",18962,18649,18354
".Baxter County, Arkansas",41687,42171,42435
".Benton County, Arkansas",286586,294337,302863
".Boone County, Arkansas",37383,37890,38284
".Bradley County, Arkansas",10488,10332,10135
".Calhoun County, Arkansas",4738,4737,4695
".Carroll County, Arkansas",28242,28480,28742
".Chicot County, Arkansas",10157,10071,9873
".Clark County, Arkansas",21387,21217,21250
".Clay County, Arkansas",14528,14370,14265
".Cleburne County, Arkansas",24696,25044,25284
".Cleveland County, Arkansas",7550,7490,7467
".Columbia County, Arkansas",22742,22510,22216
".Conway County, Arkansas",20729,20911,21046
".Craighead County, Arkansas",111603,111788,113017
".Crawford County, Arkansas",60147,60423,61075
".Crittenden County, Arkansas",48086,47475,47061
".Cross County, Arkansas",16796,16693,16601
".Dallas County, Arkansas",6442,6306,6191
".Desha County, Arkansas",11320,11050,10771
".Drew County, Arkansas",17314,17070,16911
".Faulkner County, Arkansas",123811,125645,127665
".Franklin County, Arkansas",17135,17166,17271
".Fulton County, Arkansas",12057,12156,12382
".Garland County, Arkansas",100249,100386,100089
".Grant County, Arkansas",18022,18149,18160
".Greene County, Arkansas",45864,46349,46448
".Hempstead County, Arkansas",19981,19679,19453
".Hot Spring County, Arkansas",33075,33108,33203
".Howard County, Arkansas",12755,12676,12557
".Independence County, Arkansas",37936,37742,37945
".Izard County, Arkansas",13597,13928,14048
".Jackson County, Arkansas",16755,16780,16624
".Jefferson County, Arkansas",66833,65649,64246
".Johnson County, Arkansas",25722,25977,26001
".Lafayette County, Arkansas",6299,6155,6101
".Lawrence County, Arkansas",16212,16316,16205
".Lee County, Arkansas",8528,8559,8364
".Lincoln County, Arkansas",12889,13151,12916
".Little River County, Arkansas",11975,11954,11821
".Logan County, Arkansas",21103,21207,21253
".Lonoke County, Arkansas",74046,74766,75225
".Madison County, Arkansas",16546,16936,17486
".Marion County, Arkansas",16877,16970,17254
".Miller County, Arkansas",42579,42499,42552
".Mississippi County, Arkansas",40544,39577,38896
".Monroe County, Arkansas",6774,6660,6564
".Montgomery County, Arkansas",8488,8638,8556
".Nevada County, Arkansas",8285,8195,8181
".Newton County, Arkansas",7193,7164,7078
".Ouachita County, Arkansas",22614,22344,22049
".Perry County, Arkansas",10000,9989,10063
".Phillips County, Arkansas",16443,15822,15304
".Pike County, Arkansas",10172,10121,10179
".Poinsett County, Arkansas",22952,22730,22495
".Polk County, Arkansas",19187,19331,19337
".Pope County, Arkansas",63403,63756,64065
".Prairie County, Arkansas",8246,8094,8069
".Pulaski County, Arkansas",399246,398069,399145
".Randolph County, Arkansas",18590,18842,18837
".St. Francis County, Arkansas",23013,22701,22451
".Saline County, Arkansas",123815,125319,127357
".Scott County, Arkansas",9828,9795,9805
".Searcy County, Arkansas",7842,7880,7918
".Sebastian County, Arkansas",127800,128425,129059
".Sevier County, Arkansas",15779,15709,15686
".Sharp County, Arkansas",17319,17660,17810
".Stone County, Arkansas",12350,12432,12575
".Union County, Arkansas",38926,38364,37752
".Van Buren County, Arkansas",15801,15751,16102
".Washington County, Arkansas",246756,251692,256054
".White County, Arkansas",76851,77157,77755
".Woodruff County, Arkansas",6228,6153,6049
".Yell County, Arkansas",20214,20152,20129
".Alameda County, California",1680380,1643837,1628997
".Alpine County, California",1204,1235,1190
".Amador County, California",40532,41144,41412
".Butte County, California",210135,206190,207303
".Calaveras County, California",45346,46219,46563
".Colusa County, California",21858,21913,21914
".Contra Costa County, California",1165986,1163298,1156966
".Del Norte County, California",27601,27553,27082
".El Dorado County, California",191220,193590,192646
".Fresno County, California",1009503,1012992,1015190
".Glenn County, California",28896,28664,28339
".Humboldt County, California",136261,134836,135010
".Imperial County, California",179595,179215,178713
".Inyo County, California",19001,18927,18718
".Kern County, California",905828,912351,916108
".Kings County, California",152790,152679,152981
".Lake County, California",68195,68584,68191
".Lassen County, California",32317,31813,29904
".Los Angeles County, California",9992236,9811842,9721138
".Madera County, California",156343,158910,160256
".Marin County, California",261282,259162,256018
".Mariposa County, California",17118,17107,17020
".Mendocino County, California",91361,91003,89783
