CountyName,2021,2022,2023
".Macoupin County, Illinois",44845,44545,44245
".Madison County, Illinois",265610,264898,263864
".Marion County, Illinois",37639,37378,36914
".Marshall County, Illinois",11706,11686,11678
".Mason County, Illinois",13057,12859,12748
".Massac County, Illinois",14138,13966,13896
".Menard County, Illinois",12271,12184,12121
".Mercer County, Illinois",15627,15568,15504
".Monroe County, Illinois",34952,34993,35033
".Montgomery County, Illinois",28203,28154,28020
".Morgan County, Illinois",32838,32599,32209
".Moultrie County, Illinois",14476,14509,14323
".Ogle County, Illinois",51694,51474,51351
".Peoria County, Illinois",181322,179764,178383
".Perry County, Illinois",20882,21033,20588
".Piatt County, Illinois",16674,16781,16723
".Pike County, Illinois",14641,14609,14484
".Pope County, Illinois",3758,3770,3770
".Pulaski County, Illinois",5160,5073,4991
".Putnam County, Illinois",5631,5596,5572
".Randolph County, Illinois",30086,30219,30068
".Richland County, Illinois",15778,15685,15435
".Rock Island County, Illinois",144359,142992,141527
".St. Clair County, Illinois",256823,255022,252671
".Saline County, Illinois",23688,23348,23087
".Sangamon County, Illinois",196122,195422,194534
".Schuyler County, Illinois",6871,6822,6746
".Scott County, Illinois",4941,4855,4790
".Shelby County, Illinois",20924,20861,20761
".Stark County, Illinois",5391,5296,5345
".Stephenson County, Illinois",44493,44071,43627
".Tazewell County, Illinois",131073,130563,129911
".Union County, Illinois",17182,16937,16767
".Vermilion County, Illinois",74001,73263,72337
".Wabash County, Illinois",11315,11210,11087
".Warren County, Illinois",16828,16595,16354
".Washington County, Illinois",13731,13651,13643
".Wayne County, Illinois",16125,15967,15872
".White County, Illinois",13807,13768,13614
".Whiteside County, Illinois",55553,55342,54658
".Will County, Illinois",695844,697985,696757
".Williamson County, Illinois",67113,66943,66695
".Winnebago County, Illinois",284928,283559,282188
".Woodford County, Illinois",38395,38210,38128
".Adams County, Indiana",35852,35939,36068
".Allen County, Indiana",386082,389112,391449
".Bartholomew County, Indiana",82216,82730,83540
".Benton County, Indiana",8716,8714,8719
".Blackford County, Indiana",12111,12056,11919
".Boone County, Indiana",71134,73006,74164
".Brown County, Indiana",15482,15573,15570
".Carroll County, Indiana",20331,20502,20555
".Cass County, Indiana",37791,37579,37540
".Clark County, Indiana",121353,122847,124237
".Clay County, Indiana",26419,26370,26379
".Clinton County, Indiana",33174,33025,32843
".Crawford County, Indiana",10525,10491,10536
".Daviess County, Indiana",33366,33381,33418
".Dearborn County, Indiana",50754,50946,51138
".Decatur County, Indiana",26465,26322,26416
".DeKalb County, Indiana",43297,43369,43731
".Delaware County, Indiana",111763,111981,112031
".Dubois County, Indiana",43643,43625,43632
".Elkhart County, Indiana",206983,207066,206890
".Fayette County, Indiana",23362,23376,23349
".Floyd County, Indiana",80509,80606,80714
".Fountain County, Indiana",16483,16466,16574
".Franklin County, Indiana",22793,22857,23028
".Fulton County, Indiana",20469,20380,20327
".Gibson County, Indiana",33055,32954,32993
".Grant County, Indiana",66475,66203,66022
".Greene County, Indiana",30804,30826,31006
".Hamilton County, Indiana",348966,357330,364921
".Hancock County, Indiana",80187,81855,83070
".Harrison County, Indiana",39662,39817,39851
".Hendricks County, Indiana",175575,179555,182534
".Henry County, Indiana",48903,49036,48915
".Howard County, Indiana",83588,83642,83574
".Huntington County, Indiana",36646,36792,36834
".Jackson County, Indiana",46461,46285,46300
".Jasper County, Indiana",32892,33113,33281
".Jay County, Indiana",20476,20309,20198
".Jefferson County, Indiana",33100,33119,32946
".Jennings County, Indiana",27581,27507,27536
".Johnson County, Indiana",162224,164418,165782
".Knox County, Indiana",36248,35964,35789
".Kosciusko County, Indiana",80155,80323,80826
".LaGrange County, Indiana",40530,40538,40866
".Lake County, Indiana",498932,499327,499689
".LaPorte County, Indiana",112276,112486,111675
".Lawrence County, Indiana",45012,45045,45222
".Madison County, Indiana",130195,130979,131744
".Marion County, Indiana",976631,971647,969466
".Marshall County, Indiana",46076,46175,46332
".Martin County, Indiana",9803,9799,9803
".Miami County, Indiana",35913,36032,35674
".Monroe County, Indiana",139571,140135,139745
".Montgomery County, Indiana",37942,38061,38273
".Morgan County, Indiana",71848,72260,72236
".Newton County, Indiana",13786,13793,13823
".Noble County, Indiana",47453,47419,47367
".Ohio County, Indiana",5922,5992,6114
".Orange County, Indiana",19848,19812,19623
".Owen County, Indiana",21314,21432,21482
".Parke County, Indiana",16155,16486,16369
".Perry County, Indiana",19151,19317,19183
".Pike County, Indiana",12247,12178,12168
".Porter County, Indiana",173295,174517,174791
".Posey County, Indiana",25173,25129,25063
".Pulaski County, Indiana",12523,12370,12485
".Putnam County, Indiana",36679,37016,37301
".Randolph County, Indiana",24409,24437,24437
".Ripley County, Indiana",28968,29017,29087
".Rush County, Indiana",16767,16699,16673
".St. Joseph County, Indiana",272672,272341,272234
".Scott County, Indiana",24371,24437,24588
".Shelby County, Indiana",45058,45025,44991
".Spencer County, Indiana",19835,19875,19967
".Starke County, Indiana",23380,23378,23258
".Steuben County, Indiana",34453,34666,34725
".Sullivan County, Indiana",20819,20781,20670
".Switzerland County, Indiana",9742,9849,10006
".Tippecanoe County, Indiana",186369,187566,188717
".Tipton County, Indiana",15386,15393,15361
".Union County, Indiana",7081,7014,6952
".Vanderburgh County, Indiana",180331,180267,179744
".Vermillion County, Indiana",15409,15440,15451
".Vigo County, Indiana",106119,106084,106006
".Wabash County, Indiana",30936,30897,30828
".Warren County, Indiana",8424,8459,8461
".Warrick County, Indiana",63996,64623,65185
".Washington County, Indiana",28242,28151,28224
".Wayne County, Indiana",66513,66490,66273
".Wells County, Indiana",28167,28177,28335
".White County, Indiana",24668,24662,24598
".Whitley County, Indiana",34338,34492,34627
".Adair County, Iowa",7494,7538,7494
".Adams County, Iowa",3710,3642,3611
".Allamakee County, Iowa",14068,13968,13960
".Appanoose County, Iowa",12285,12266,12094
".Audubon County, Iowa",5681,5665,5598
".Benton County, Iowa",25534,25719,25711
".Black Hawk County, Iowa",131034,130606,130274
".Boone County, Iowa",26700,26776,26609
".Bremer County, Iowa",25003,25122,25259
".Buchanan County, Iowa",20606,20697,20714
".Buena Vista County, Iowa",20809,20767,20600
".Butler County, Iowa",14332,14362,14269
".Calhoun County, Iowa",9882,9884,9725
".Carroll County, Iowa",20721,20752,20567
".Cass County, Iowa",13118,13065,13104
".Cedar County, Iowa",18491,18444,18399
".Cerro Gordo County, Iowa",43023,42761,42409
".Cherokee County, Iowa",11663,11532,11491
".Chickasaw County, Iowa",11990,11899,11716
".Clarke County, Iowa",9726,9756,9692
".Clay County, Iowa",16335,16428,16475
".Clayton County, Iowa",17030,17047,17027
".Clinton County, Iowa",46432,46526,46344
".Crawford County, Iowa",16490,16243,16123
".Dallas County, Iowa",100473,104069,108016
".Davis County, Iowa",9112,9146,9130
".Decatur County, Iowa",7605,7660,7683
".Delaware County, Iowa",17456,17531,17568
".Des Moines County, Iowa",38816,38507,38293
".Dickinson County, Iowa",17766,17852,18028
".Dubuque County, Iowa",99291,98815,98677
".Emmet County, Iowa",9335,9318,9176
".Fayette County, Iowa",19445,19309,19294
".Floyd County, Iowa",15590,15449,15337
".Franklin County, Iowa",9997,9952,9916
".Fremont County, Iowa",6567,6575,6464
".Greene County, Iowa",8752,8733,8741
".Grundy County, Iowa",12334,12371,12356
".Guthrie County, Iowa",10613,10586,10647
".Hamilton County, Iowa",15008,14883,14820
".Hancock County, Iowa",10757,10685,10685
".Hardin County, Iowa",16820,16719,16567
".Harrison County, Iowa",14564,14683,14658
".Henry County, Iowa",20451,20390,20196
".Howard County, Iowa",9492,9500,9533
".Humboldt County, Iowa",9595,9637,9572
".Ida County, Iowa",7019,6974,6888
".Iowa County, Iowa",16654,16574,16475
".Jackson County, Iowa",19452,19397,19324
".Jasper County, Iowa",37810,37874,37938
".Jefferson County, Iowa",15693,15762,15698
".Johnson County, Iowa",153042,155016,156420
".Jones County, Iowa",20653,20839,20848
".Keokuk County, Iowa",10012,9924,9904
".Kossuth County, Iowa",14794,14524,14475
".Lee County, Iowa",33520,33208,32840
".Linn County, Iowa",230411,229458,229033
".Louisa County, Iowa",10821,10747,10677
".Lucas County, Iowa",8620,8696,8689
".Lyon County, Iowa",11927,12061,12179
".Madison County, Iowa",16628,16789,17036
".Mahaska County, Iowa",22147,21944,21946
".Marion County, Iowa",33408,33444,33642
".Marshall County, Iowa",40093,39899,39879
".Mills County, Iowa",14399,14464,14553
".Mitchell County, Iowa",10588,10563,10532
".Monona County, Iowa",8746,8595,8486
".Monroe County, Iowa",7597,7595,7550
".Montgomery County, Iowa",10330,10325,10205
".Muscatine County, Iowa",43141,42688,42377
".O'Brien County, Iowa",14154,14062,14060
".Osceola County, Iowa",6202,6163,6036
".Page County, Iowa",15196,15215,15143
".Palo Alto County, Iowa",8989,8909,8764
".Plymouth County, Iowa",25689,25714,25681
".Pocahontas County, Iowa",7067,7057,7053
".Polk County, Iowa",492997,497675,501089
".Pottawattamie County, Iowa",93670,93434,93173
".Poweshiek County, Iowa",18628,18603,18467
".Ringgold County, Iowa",4642,4626,4670
".Sac County, Iowa",9794,9745,9673
".Scott County, Iowa",174596,174278,173924
".Shelby County, Iowa",11723,11773,11645
".Sioux County, Iowa",35887,35991,36050
".Story County, Iowa",98645,99666,99673
".Tama County, Iowa",17077,16874,16903
".Taylor County, Iowa",5865,5873,5858
".Union County, Iowa",12132,12036,11887
".Van Buren County, Iowa",7217,7261,7256
".Wapello County, Iowa",35330,35283,35043
".Warren County, Iowa",52588,53487,54327
".Washington County, Iowa",22540,22494,22571
".Wayne County, Iowa",6504,6511,6467
".Webster County, Iowa",36985,37178,36626
".Winnebago County, Iowa",10662,10664,10617
".Winneshiek County, Iowa",20037,19915,19974
".Woodbury County, Iowa",105904,105816,105671
".Worth County, Iowa",7435,7380,7319
".Wright County, Iowa",12915,12811,12681
".Allen County, Kansas",12532,12526,12579
".Anderson County, Kansas",7843,7800,7776
".Atchison County, Kansas",16318,16257,16108
".Barber County, Kansas",4203,4099,4122
".Barton County, Kansas",25419,25239,25080
".Bourbon County, Kansas",14333,14336,14493
".Brown County, Kansas",9482,9453,9364
".Butler County, Kansas",67390,67958,68240
".Chase County, Kansas",2574,2598,2548
".Chautauqua County, Kansas",3385,3391,3415
".Cherokee County, Kansas",19297,19208,19088
".Cheyenne County, Kansas",2615,2624,2583
".Clark County, Kansas",1974,1958,1933
".Clay County, Kansas",8122,8091,8043
".Cloud County, Kansas",9008,8954,8946
".Coffey County, Kansas",8356,8343,8280
".Comanche County, Kansas",1680,1660,1681
".Cowley County, Kansas",34524,34652,34453
".Crawford County, Kansas",38951,39033,39078
".Decatur County, Kansas",2765,2764,2689
".Dickinson County, Kansas",18368,18483,18430
".Doniphan County, Kansas",7463,7442,7440
".Douglas County, Kansas",118777,119480,119964
".Edwards County, Kansas",2883,2800,2739
".Elk County, Kansas",2474,2431,2441
".Ellis County, Kansas",28943,28897,28941
".Ellsworth County, Kansas",6369,6320,6355
".Finney County, Kansas",38302,38066,37650
".Ford County, Kansas",34208,34121,33848
".Franklin County, Kansas",26008,26021,25992
".Geary County, Kansas",36751,36112,35691
".Gove County, Kansas",2707,2735,2717
".Graham County, Kansas",2408,2408,2411
".Grant County, Kansas",7326,7318,7197
".Gray County, Kansas",5646,5672,5729
".Greeley County, Kansas",1274,1280,1223
".Greenwood County, Kansas",5965,5922,5939
".Hamilton County, Kansas",2489,2468,2430
".Harper County, Kansas",5465,5329,5323
".Harvey County, Kansas",33998,33827,33801
".Haskell County, Kansas",3759,3646,3576
".Hodgeman County, Kansas",1739,1750,1755
".Jackson County, Kansas",13241,13270,13286
".Jefferson County, Kansas",18320,18419,18344
".Jewell County, Kansas",2936,2946,2898
".Johnson County, Kansas",611101,614848,619195
".Kearny County, Kansas",3961,3892,3855
".Kingman County, Kansas",7412,7280,7193
".Kiowa County, Kansas",2452,2408,2404
".Labette County, Kansas",20165,19929,19757
".Lane County, Kansas",1569,1572,1556
".Leavenworth County, Kansas",81953,82322,82892
".Lincoln County, Kansas",2948,2907,2899
".Linn County, Kansas",9586,9730,9796
".Logan County, Kansas",2743,2710,2705
".Lyon County, Kansas",32107,31987,31898
".McPherson County, Kansas",30180,30137,30012
".Marion County, Kansas",11778,11756,11868
".Marshall County, Kansas",10026,10010,9982
".Meade County, Kansas",4054,3989,3897
".Miami County, Kansas",34232,34665,34867
".Mitchell County, Kansas",5772,5757,5738
".Montgomery County, Kansas",31393,31202,30996
".Morris County, Kansas",5367,5362,5349
".Morton County, Kansas",2697,2669,2599
".Nemaha County, Kansas",10265,10216,10115
".Neosho County, Kansas",15905,15779,15606
".Ness County, Kansas",2667,2651,2645
".Norton County, Kansas",5453,5369,5301
".Osage County, Kansas",15746,15746,15654
".Osborne County, Kansas",3497,3485,3490
".Ottawa County, Kansas",5728,5834,5795
".Pawnee County, Kansas",6261,6246,6179
".Phillips County, Kansas",4977,4845,4809
".Pottawatomie County, Kansas",25411,25860,26273
".Pratt County, Kansas",9148,9180,9067
".Rawlins County, Kansas",2565,2559,2528
".Reno County, Kansas",61887,61510,61516
".Republic County, Kansas",4677,4682,4642
".Rice County, Kansas",9385,9406,9407
".Riley County, Kansas",72013,71849,71108
".Rooks County, Kansas",4895,4870,4813
".Rush County, Kansas",2938,2925,2927
".Russell County, Kansas",6670,6677,6639
".Saline County, Kansas",54253,53899,53596
".Scott County, Kansas",5138,5121,5014
".Sedgwick County, Kansas",524786,524481,525525
".Seward County, Kansas",21854,21747,21358
".Shawnee County, Kansas",178698,178367,177480
".Sheridan County, Kansas",2451,2452,2425
".Sherman County, Kansas",5895,5911,5830
".Smith County, Kansas",3552,3555,3533
".Stafford County, Kansas",4055,4008,3993
".Stanton County, Kansas",2083,2041,1963
".Stevens County, Kansas",5246,5299,5175
".Sumner County, Kansas",22342,22386,22473
".Thomas County, Kansas",7933,7942,7893
".Trego County, Kansas",2805,2792,2752
".Wabaunsee County, Kansas",6885,6969,7019
".Wallace County, Kansas",1517,1514,1488
".Washington County, Kansas",5532,5526,5501
".Wichita County, Kansas",2149,2081,2064
".Wilson County, Kansas",8576,8537,8622
".Woodson County, Kansas",3091,3076,3109
".Wyandotte County, Kansas",168904,167290,165746
".Adair County, Kentucky",18880,18953,19067
".Allen County, Kentucky",20573,20828,21275
".Anderson County, Kentucky",23870,24043,24224
".Ballard County, Kentucky",7712,7690,7650
".Barren County, Kentucky",44502,44599,44854
".Bath County, Kentucky",12716,12774,12829
".Bell County, Kentucky",23984,23765,23568
".Boone County, Kentucky",136465,137760,139093
".Bourbon County, Kentucky",20290,20218,20093
".Boyd County, Kentucky",48197,47767,48110
".Boyle County, Kentucky",30753,30649,30904
".Bracken County, Kentucky",8402,8446,8452
".Breathitt County, Kentucky",13694,13527,13351
".Breckinridge County, Kentucky",20443,20652,20943
".Bullitt County, Kentucky",82355,83076,83836
".Butler County, Kentucky",12318,12279,12295
".Caldwell County, Kentucky",12634,12644,12570
".Calloway County, Kentucky",37145,37489,37685
".Campbell County, Kentucky",93129,92856,93300
".Carlisle County, Kentucky",4806,4760,4720
".Carroll County, Kentucky",10836,10884,10938
".Carter County, Kentucky",26607,26432,26395
".Casey County, Kentucky",15924,15951,15920
".Christian County, Kentucky",72768,73221,73037
".Clark County, Kentucky",37037,36925,37061
".Clay County, Kentucky",20310,20184,19913
".Clinton County, Kentucky",9232,9288,9123
".Crittenden County, Kentucky",9002,8939,8981
".Cumberland County, Kentucky",5860,5892,5946
".Daviess County, Kentucky",103391,103140,103222
".Edmonson County, Kentucky",12153,12213,12269
".Elliott County, Kentucky",7333,7375,7293
".Estill County, Kentucky",14161,14090,14044
".Fayette County, Kentucky",322613,320473,320347
".Fleming County, Kentucky",15098,15268,15288
".Floyd County, Kentucky",35804,35300,34978
".Franklin County, Kentucky",51589,51683,51607
".Fulton County, Kentucky",6512,6513,6382
".Gallatin County, Kentucky",8672,8766,8763
".Garrard County, Kentucky",16965,17385,17589
".Grant County, Kentucky",25014,25302,25502
".Graves County, Kentucky",36527,36634,36412
".Grayson County, Kentucky",26454,26582,26631
".Green County, Kentucky",11130,11308,11365
".Greenup County, Kentucky",35887,35682,35403
".Hancock County, Kentucky",9105,9083,9021
".Hardin County, Kentucky",110816,111766,111862
".Harlan County, Kentucky",26752,26177,25662
".Harrison County, Kentucky",18718,18964,19103
".Hart County, Kentucky",19289,19485,19600
".Henderson County, Kentucky",44668,44417,44046
".Henry County, Kentucky",15697,15704,15771
".Hickman County, Kentucky",4530,4430,4422
".Hopkins County, Kentucky",45366,45096,44812
".Jackson County, Kentucky",12962,12987,12973
".Jefferson County, Kentucky",782783,777378,773399
".Jessamine County, Kentucky",53016,53609,54254
".Johnson County, Kentucky",22644,22539,22244
".Kenton County, Kentucky",169246,169734,170313
".Knott County, Kentucky",14163,14033,13874
".Knox County, Kentucky",30183,30019,29791
".Larue County, Kentucky",14877,15024,15163
".Laurel County, Kentucky",62728,62592,62885
".Lawrence County, Kentucky",16303,16268,16109
".Lee County, Kentucky",7372,7454,7261
".Leslie County, Kentucky",10471,10298,10093
".Letcher County, Kentucky",21465,21245,20893
".Lewis County, Kentucky",13082,13006,12954
".Lincoln County, Kentucky",24249,24227,24360
".Livingston County, Kentucky",8873,8984,8963
".Logan County, Kentucky",27515,27815,27877
".Lyon County, Kentucky",8678,8436,9101
".McCracken County, Kentucky",67911,67612,67490
".McCreary County, Kentucky",16857,16681,16701
".McLean County, Kentucky",9134,9127,9105
".Madison County, Kentucky",92983,93473,95187
".Magoffin County, Kentucky",11604,11476,11357
".Marion County, Kentucky",19588,19758,19775
".Marshall County, Kentucky",31685,31820,31777
".Martin County, Kentucky",11249,11157,11095
".Mason County, Kentucky",17130,16965,16930
".Meade County, Kentucky",30030,30132,30001
".Menifee County, Kentucky",6135,6209,6250
".Mercer County, Kentucky",22652,22872,22902
".Metcalfe County, Kentucky",10286,10363,10370
".Monroe County, Kentucky",11316,11269,11355
".Montgomery County, Kentucky",28104,28231,28367
".Morgan County, Kentucky",13729,13682,14120
".Muhlenberg County, Kentucky",30886,30072,30455
".Nelson County, Kentucky",46784,47149,47392
".Nicholas County, Kentucky",7540,7750,7805
".Ohio County, Kentucky",23746,23730,23527
".Oldham County, Kentucky",67692,68232,69431
".Owen County, Kentucky",11304,11307,11290
".Owsley County, Kentucky",4031,3967,3929
".Pendleton County, Kentucky",14652,14611,14676
".Perry County, Kentucky",28360,27906,27361
".Pike County, Kentucky",58443,57362,56286
".Powell County, Kentucky",13095,13110,13083
".Pulaski County, Kentucky",65104,65561,65795
".Robertson County, Kentucky",2181,2250,2229
".Rockcastle County, Kentucky",16064,16151,16242
".Rowan County, Kentucky",24716,24586,24388
".Russell County, Kentucky",17995,18195,18178
".Scott County, Kentucky",57520,58312,59099
".Shelby County, Kentucky",48243,48580,48886
".Simpson County, Kentucky",19626,19716,19949
".Spencer County, Kentucky",19510,19895,20204
".Taylor County, Kentucky",26000,26158,26407
".Todd County, Kentucky",12289,12321,12404
".Trigg County, Kentucky",14080,14202,14332
".Trimble County, Kentucky",8461,8553,8539
".Union County, Kentucky",13665,13166,12961
".Warren County, Kentucky",135013,137148,139843
".Washington County, Kentucky",12042,12091,12061
".Wayne County, Kentucky",19542,19569,19681
".Webster County, Kentucky",13017,12857,12726
".Whitley County, Kentucky",36695,36699,36873
".Wolfe County, Kentucky",6556,6491,6400
".Woodford County, Kentucky",26902,27090,27062
".Acadia Parish, Louisiana",57472,57262,56744
".Allen Parish, Louisiana",22684,22604,22320
".Ascension Parish, Louisiana",126966,128502,130458
".Assumption Parish, Louisiana",20957,20726,20604
".Avoyelles Parish, Louisiana",39638,39265,38751
".Beauregard Parish, Louisiana",36600,36619,36570
".Bienville Parish, Louisiana",12918,12800,12641
".Bossier Parish, Louisiana",128717,129402,129276
".Caddo Parish, Louisiana",236928,232741,229025
".Calcasieu Parish, Louisiana",216465,205095,202418
".Caldwell Parish, Louisiana",9611,9593,9554
".Cameron Parish, Louisiana",5623,5099,4902
".Catahoula Parish, Louisiana",8841,8712,8566
".Claiborne Parish, Louisiana",14103,13990,13744
".Concordia Parish, Louisiana",18568,18373,18116
".De Soto Parish, Louisiana",26838,26934,26853
".East Baton Rouge Parish, Louisiana",455886,453653,450544
".East Carroll Parish, Louisiana",7397,7242,6990
".East Feliciana Parish, Louisiana",19450,19319,19135
".Evangeline Parish, Louisiana",32304,32190,31986
".Franklin Parish, Louisiana",19712,19593,19308
".Grant Parish, Louisiana",22135,22212,22000
".Iberia Parish, Louisiana",70054,69298,68327
".Iberville Parish, Louisiana",30058,29713,29506
".Jackson Parish, Louisiana",14997,14922,14839
".Jefferson Parish, Louisiana",439712,433929,425884
".Jefferson Davis Parish, Louisiana",32210,32413,32026
".Lafayette Parish, Louisiana",242148,244922,247866
".Lafourche Parish, Louisiana",97434,97537,95870
".LaSalle Parish, Louisiana",14822,14793,14729
".Lincoln Parish, Louisiana",48304,48153,48129
".Livingston Parish, Louisiana",142824,146230,148425
".Madison Parish, Louisiana",9923,9804,9478
".Morehouse Parish, Louisiana",25453,25000,24446
".Natchitoches Parish, Louisiana",37388,36995,36663
".Orleans Parish, Louisiana",383218,377063,369749
".Ouachita Parish, Louisiana",160096,158919,157702
".Plaquemines Parish, Louisiana",23458,23284,22516
".Pointe Coupee Parish, Louisiana",20670,20323,20151
".Rapides Parish, Louisiana",129657,128748,127189
".Red River Parish, Louisiana",7587,7490,7420
".Richland Parish, Louisiana",20032,19890,19826
".Sabine Parish, Louisiana",22093,22098,21985
".St. Bernard Parish, Louisiana",43853,44330,44479
".St. Charles Parish, Louisiana",52507,52405,50998
".St. Helena Parish, Louisiana",10901,10921,10822
".St. James Parish, Louisiana",20117,19790,19423
".St. John the Baptist Parish, Louisiana",42355,42021,39864
".St. Landry Parish, Louisiana",82302,82283,81773
".St. Martin Parish, Louisiana",51628,51573,51236
".St. Mary Parish, Louisiana",49143,48188,47789
".St. Tammany Parish, Louisiana",264986,270087,273263
".Tangipahoa Parish, Louisiana",133635,135508,137048
".Tensas Parish, Louisiana",4107,4034,3846
".Terrebonne Parish, Louisiana",109405,109013,104786
".Union Parish, Louisiana",21090,20996,20721
".Vermilion Parish, Louisiana",56918,56854,56952
".Vernon Parish, Louisiana",48625,48056,47247
".Washington Parish, Louisiana",45344,45176,45025
".Webster Parish, Louisiana",36875,36024,35643
".West Baton Rouge Parish, Louisiana",27258,27805,28034
".West Carroll Parish, Louisiana",9693,9596,9475
".West Feliciana Parish, Louisiana",15250,15481,15381
".Winn Parish, Louisiana",13721,13507,13205
".Androscoggin County, Maine",111180,112648,113023
".Aroostook County, Maine",67064,67022,67255
".Cumberland County, Maine",303570,306149,307451
".Franklin County, Maine",29460,30275,30474
".Hancock County, Maine",55500,56403,56701
".Kennebec County, Maine",123832,124824,125540
".Knox County, Maine",40657,41074,41164
".Lincoln County, Maine",35249,35985,36215
".Oxford County, Maine",57894,58719,59495
".Penobscot County, Maine",152165,152834,153704
".Piscataquis County, Maine",16805,17184,17417
".Sagadahoc County, Maine",36724,37190,37393
".Somerset County, Maine",50460,50715,51098
".Waldo County, Maine",39654,39984,40241
".Washington County, Maine",31087,31166,31437
".York County, Maine",212256,215066,216732
".Allegany County, Maryland",67955,67691,67267
".Anne Arundel County, Maryland",589054,592052,593286
".Baltimore County, Maryland",853325,850634,846161
".Calvert County, Maryland",92905,94226,94573
".Caroline County, Maryland",33273,33413,33433
".Carroll County, Maryland",172923,174208,175305
".Cecil County, Maryland",103793,104096,104942
".Charles County, Maryland",166726,168870,170102
".Dorchester County, Maryland",32528,32625,32726
".Frederick County, Maryland",272765,280410,287079
".Garrett County, Maryland",28792,28757,28579
".Harford County, Maryland",261213,263292,263867
".Howard County, Maryland",332786,335287,335411
".Kent County, Maryland",19114,19254,19320
".Montgomery County, Maryland",1060825,1055924,1052521
".Prince George's County, Maryland",965290,956254,946971
".Queen Anne's County, Maryland",50023,50900,51711
".St. Mary's County, Maryland",113987,114664,114877
".Somerset County, Maryland",24564,24528,24546
".Talbot County, Maryland",37481,37796,37932
".Washington County, Maryland",154677,155197,155590
".Wicomico County, Maryland",103556,104181,104664
".Worcester County, Maryland",52511,53370,53866
".Baltimore city, Maryland",583139,576981,569931
".Barnstable County, Massachusetts",228856,232594,232457
".Berkshire County, Massachusetts",128774,128621,127859
".Bristol County, Massachusetts",576737,579895,580068
".Dukes County, Massachusetts",20579,21109,20868
".Essex County, Massachusetts",808491,807485,806765
".Franklin County, Massachusetts",70930,70943,70894
".Hampden County, Massachusetts",464407,462849,461041
".Hampshire County, Massachusetts",146592,163088,162588
".Middlesex County, Massachusetts",1628671,1617099,1617105
".Nantucket County, Massachusetts",14237,14499,14421
".Norfolk County, Massachusetts",724322,724692,725531
".Plymouth County, Massachusetts",530154,532919,533069
".Suffolk County, Massachusetts",793271,771765,766381
".Worcester County, Massachusetts",859708,862132,862927
".Alcona County, Michigan",10189,10300,10417
".Alger County, Michigan",8842,8789,8807
".Allegan County, Michigan",120647,121010,121210
".Alpena County, Michigan",28880,28916,28847
".Antrim County, Michigan",23459,23884,24249
".Arenac County, Michigan",15003,15000,15089
".Baraga County, Michigan",8140,8291,8277
".Barry County, Michigan",62598,63170,63554
".Bay County, Michigan",103733,103251,102821
".Benzie County, Michigan",17997,18236,18297
".Berrien County, Michigan",154183,153377,152900
".Branch County, Michigan",44868,45202,44531
".Calhoun County, Michigan",134184,133878,133289
".Cass County, Michigan",51550,51501,51403
".Charlevoix County, Michigan",26034,26215,26293
".Cheboygan County, Michigan",25584,25735,25940
".Chippewa County, Michigan",36781,35867,36293
".Clare County, Michigan",30834,31128,31352
".Clinton County, Michigan",79157,79499,79748
".Crawford County, Michigan",12993,13292,13491
".Delta County, Michigan",36860,36834,36741
".Dickinson County, Michigan",25898,25795,25874
".Eaton County, Michigan",109176,109030,108992
".Emmet County, Michigan",34104,34280,34163
".Genesee County, Michigan",405757,404662,401983
".Gladwin County, Michigan",25375,25528,25728
".Gogebic County, Michigan",14346,14356,14319
".Grand Traverse County, Michigan",95411,96013,96464
".Gratiot County, Michigan",41667,41269,41100
".Hillsdale County, Michigan",45733,45609,45762
".Houghton County, Michigan",37238,37444,37035
".Huron County, Michigan",31371,31354,31248
".Ingham County, Michigan",284640,271427,284108
".Ionia County, Michigan",66855,66797,66809
".Iosco County, Michigan",25185,25374,25521
".Iron County, Michigan",11628,11576,11622
".Isabella County, Michigan",64513,64291,64447
".Jackson County, Michigan",160225,160266,160066
".Kalamazoo County, Michigan",261767,260688,261173
".Kalkaska County, Michigan",17916,17958,18182
".Kent County, Michigan",658460,659000,659083
".Keweenaw County, Michigan",2068,2118,2180
".Lake County, Michigan",12094,12261,12594
".Lapeer County, Michigan",88572,88686,88780
".Leelanau County, Michigan",22312,22630,22870
".Lenawee County, Michigan",99320,99202,98567
".Livingston County, Michigan",193971,195277,196161
".Luce County, Michigan",5336,5337,5330
".Mackinac County, Michigan",10816,10899,10941
".Macomb County, Michigan",880176,877385,874195
".Manistee County, Michigan",25061,25299,25287
".Marquette County, Michigan",66012,65800,66661
".Mason County, Michigan",29038,29381,29409
".Mecosta County, Michigan",39792,40057,40720
".Menominee County, Michigan",23450,23323,23266
".Midland County, Michigan",83481,83426,83674
".Missaukee County, Michigan",15057,15164,15213
".Monroe County, Michigan",154893,155646,155609
".Montcalm County, Michigan",66648,67458,67433
".Montmorency County, Michigan",9164,9302,9569
".Muskegon County, Michigan",175848,176612,176565
".Newaygo County, Michigan",50095,50468,50886
".Oakland County, Michigan",1272413,1271891,1269431
".Oceana County, Michigan",26713,26884,26973
".Ogemaw County, Michigan",20779,20783,20970
".Ontonagon County, Michigan",5805,5855,5863
".Osceola County, Michigan",22906,23176,23274
".Oscoda County, Michigan",8239,8328,8404
