node_code,node_name,center_1_code,center_1_name,center_2_code,center_2_name,center_3_code,center_3_name,center_4_code,center_4_name,center_5_code,center_5_name,center_6_code,center_6_name,center_7_code,center_7_name,center_8_code,center_8_name,center_9_code,center_9_name,center_10_code,center_10_name,center_11_code,center_11_name,center_12_code,center_12_name,center_13_code,center_13_name,center_14_code,center_14_name,center_15_code,center_15_name,center_16_code,center_16_name,center_17_code,center_17_name,center_18_code,center_18_name,center_19_code,center_19_name,center_20_code,center_20_name
01027,Clay County,01027,Clay County,01027,Clay County,01027,Clay County,01027,Clay County,01027,Clay County,01015,Calhoun County,01073,Jefferson County,01073,Jefferson County,01073,Jefferson County,01073,Jefferson County,01073,Jefferson County,01073,Jefferson County,13121,Fulton County,13121,Fulton County,13121,Fulton County,13121,Fulton County,48113,Dallas County,36061,New York County,36061,New York County,36061,New York County
01029,Cleburne County,01029,Cleburne County,01029,Cleburne County,13045,Carroll County,13045,Carroll County,13045,Carroll County,13121,Fulton County,13121,Fulton County,13121,Fulton County,13121,Fulton County,13121,Fulton County,13121,Fulton County,13121,Fulton County,13121,Fulton County,13121,Fulton County,13121,Fulton County,13121,Fulton County,48113,Dallas County,36061,New York County,36061,New York County,36061,New York County
01031,Coffee County,01031,Coffee County,01031,Coffee County,01045,Dale County,01045,Dale County,01069,Houston County,01069,Houston County,01069,Houston County,01069,Houston County,01069,Houston County,01069,Houston County,01069,Houston County,12033,Escambia County,12033,Escambia County,13121,Fulton County,13121,Fulton County,13121,Fulton County,48113,Dallas County,36061,New York County,36061,New York County,36061,New York County
01033,Colbert County,01033,Colbert County,01033,Colbert County,01077,Lauderdale County,01077,Lauderdale County,01077,Lauderdale County,01077,Lauderdale County,01077,Lauderdale County,01077,Lauderdale County,01089,Madison County,01089,Madison County,01073,Jefferson County,01073,Jefferson County,13121,Fulton County,13121,Fulton County,13121,Fulton County,13121,Fulton County,48113,Dallas County,36061,New York County,36061,New York County,36061,New York County
01035,Conecuh County,01035,Conecuh County,01035,Conecuh County,01035,Conecuh County,01053,Escambia County,01053,Escambia County,01053,Escambia County,12033,Escambia County,12033,Escambia County,12033,Escambia County,12033,Escambia County,12033,Escambia County,12033,Escambia County,12033,Escambia County,13121,Fulton County,13121,Fulton County,13121,Fulton County,48113,Dallas County,36061,New York County,36061,New York County,36061,New York County
01037,Coosa County,01037,Coosa County,01037,Coosa County,01123,Tallapoosa County,01123,Tallapoosa County,01123,Tallapoosa County,01123,Tallapoosa County,13215,Muscogee County,13215,Muscogee County,13215,Muscogee County,13215,Muscogee County,13121,Fulton County,13121,Fulton County,13121,Fulton County,13121,Fulton County,13121,Fulton County,13121,Fulton County,48113,Dallas County,36061,New York County,36061,New York County,36061,New York County
01039,Covington County,01039,Covington County,01039,Covington County,01039,Covington County,01039,Covington County,01039,Covington County,01039,Covington County,01039,Covington County,01069,Houston County,01069,Houston County,01069,Houston County,01069,Houston County,12033,Escambia County,12033,Escambia County,13121,Fulton County,13121,Fulton County,13121,Fulton County,48113,Dallas County,36061,New York County,36061,New York County,36061,New York County
01041,Crenshaw County,01041,Crenshaw County,01041,Crenshaw County,01041,Crenshaw County,01041,Crenshaw County,01101,Montgomery County,01101,Montgomery County,01101,Montgomery County,01101,Montgomery County,01101,Montgomery County,01101,Montgomery County,01073,Jefferson County,01073,Jefferson County,13121,Fulton County,13121,Fulton County,13121,Fulton County,13121,Fulton County,48113,Dallas County,36061,New York County,36061,New York County,36061,New York County
01043,Cullman County,01043,Cullman County,01043,Cullman County,01043,Cullman County,01043,Cullman County,01043,Cullman County,01089,Madison County,01089,Madison County,01089,Madison County,01089,Madison County,01089,Madison County,01073,Jefferson County,01073,Jefferson County,13121,Fulton County,13121,Fulton County,13121,Fulton County,13121,Fulton County,48113,Dallas County,36061,New York County,36061,New York County,36061,New York County
01045,Dale County,01045,Dale County,01045,Dale County,01045,Dale County,01045,Dale County,01069,Houston County,01069,Houston County,01069,Houston County,01069,Houston County,01069,Houston County,01069,Houston County,01069,Houston County,12033,Escambia County,12033,Escambia County,13121,Fulton County,13121,Fulton County,13121,Fulton County,48113,Dallas County,36061,New York County,36061,New York County,36061,New York County
01047,Dallas County,01047,Dallas County,01047,Dallas County,01047,Dallas County,01047,Dallas County,01047,Dallas County,01047,Dallas County,01101,Montgomery County,01101,Montgomery County,01101,Montgomery County,01101,Montgomery County,01073,Jefferson County,01073,Jefferson County,13121,Fulton County,13121,Fulton County,13121,Fulton County,13121,Fulton County,48113,Dallas County,36061,New York County,36061,New York County,36061,New York County
01049,DeKalb County,01049,DeKalb County,01049,DeKalb County,01049,DeKalb County,01049,DeKalb County,01049,DeKalb County,01049,DeKalb County,01049,DeKalb County,01089,Madison County,01089,Madison County,01089,Madison County,01073,Jefferson County,01073,Jefferson County,13121,Fulton County,13121,Fulton County,13121,Fulton County,13121,Fulton County,48113,Dallas County,36061,New York County,36061,New York County,36061,New York County
01051,Elmore County,01101,Montgomery County,01101,Montgomery County,01101,Montgomery County,01101,Montgomery County,01101,Montgomery County,01101,Montgomery County,01101,Montgomery County,01101,Montgomery County,01101,Montgomery County,01101,Montgomery County,01073,Jefferson County,01073,Jefferson County,13121,Fulton County,13121,Fulton County,13121,Fulton County,13121,Fulton County,48113,Dallas County,36061,New York County,36061,New York County,36061,New York County
01053,Escambia County,01053,Escambia County,01053,Escambia County,01053,Escambia County,01053,Escambia County,01053,Escambia County,01053,Escambia County,12033,Escambia County,12033,Escambia County,12033,Escambia County,12033,Escambia County,12033,Escambia County,12033,Escambia County,12033,Escambia County,13121,Fulton County,13121,Fulton County,13121,Fulton County,48113,Dallas County,36061,New York County,36061,New York County,36061,New York County
01055,Etowah County,01055,Etowah County,01055,Etowah County,01055,Etowah County,01055,Etowah County,01055,Etowah County,01055,Etowah County,01073,Jefferson County,01073,Jefferson County,01073,Jefferson County,01073,Jefferson County,01073,Jefferson County,01073,Jefferson County,13121,Fulton County,13121,Fulton County,13121,Fulton County,13121,Fulton County,48113,Dallas County,36061,New York County,36061,New York County,36061,New York County
01057,Fayette County,01057,Fayette County,01057,Fayette County,01057,Fayette County,01057,Fayette County,01125,Tuscaloosa County,01125,Tuscaloosa County,01125,Tuscaloosa County,01073,Jefferson County,01073,Jefferson County,01073,Jefferson County,01073,Jefferson County,01073,Jefferson County,13121,Fulton County,13121,Fulton County,13121,Fulton County,13121,Fulton County,48113,Dallas County,36061,New York County,36061,New York County,36061,New York County
01059,Franklin County,01059,Franklin County,01059,Franklin County,01059,Franklin County,01077,Lauderdale County,01077,Lauderdale County,01077,Lauderdale County,01077,Lauderdale County,01077,Lauderdale County,01089,Madison County,01089,Madison County,01073,Jefferson County,01073,Jefferson County,13121,Fulton County,13121,Fulton County,13121,Fulton County,13121,Fulton County,48113,Dallas County,36061,New York County,36061,New York County,36061,New York County
01061,Geneva County,01061,Geneva County,01061,Geneva County,01069,Houston County,01069,Houston County,01069,Houston County,01069,Houston County,01069,Houston County,01069,Houston County,01069,Houston County,01069,Houston County,01069,Houston County,12033,Escambia County,12033,Escambia County,13121,Fulton County,13121,Fulton County,13121,Fulton County,48113,Dallas County,36061,New York County,36061,New York County,36061,New York County
01063,Greene County,01063,Greene County,01063,Greene County,01063,Greene County,01125,Tuscaloosa County,01125,Tuscaloosa County,01125,Tuscaloosa County,01125,Tuscaloosa County,01073,Jefferson County,01073,Jefferson County,01073,Jefferson County,01073,Jefferson County,01073,Jefferson County,13121,Fulton County,13121,Fulton County,13121,Fulton County,13121,Fulton County,48113,Dallas County,36061,New York County,36061,New York County,36061,New York County
01065,Hale County,01065,Hale County,01125,Tuscaloosa County,01125,Tuscaloosa County,01125,Tuscaloosa County,01125,Tuscaloosa County,01125,Tuscaloosa County,01125,Tuscaloosa County,01073,Jefferson County,01073,Jefferson County,01073,Jefferson County,01073,Jefferson County,01073,Jefferson County,13121,Fulton County,13121,Fulton County,13121,Fulton County,13121,Fulton County,48113,Dallas County,36061,New York County,36061,New York County,36061,New York County
01067,Henry County,01067,Henry County,01069,Houston County,01069,Houston County,01069,Houston County,01069,Houston County,01069,Houston County,01069,Houston County,01069,Houston County,01069,Houston County,01069,Houston County,01069,Houston County,12033,Escambia County,12033,Escambia County,13121,Fulton County,13121,Fulton County,13121,Fulton County,48113,Dallas County,36061,New York County,36061,New York County,36061,New York County
01069,Houston County,01069,Houston County,01069,Houston County,01069,Houston County,01069,Houston County,01069,Houston County,01069,Houston County,01069,Houston County,01069,Houston County,01069,Houston County,01069,Houston County,01069,Houston County,12033,Escambia County,12033,Escambia County,13121,Fulton County,13121,Fulton County,13121,Fulton County,48113,Dallas County,36061,New York County,36061,New York County,36061,New York County
01071,Jackson County,01071,Jackson County,01071,Jackson County,01071,Jackson County,01071,Jackson County,01049,DeKalb County,01049,DeKalb County,01049,DeKalb County,01089,Madison County,01089,Madison County,01089,Madison County,01073,Jefferson County,01073,Jefferson County,13121,Fulton County,13121,Fulton County,13121,Fulton County,13121,Fulton County,48113,Dallas County,36061,New York County,36061,New York County,36061,New York County
01073,Jefferson County,01073,Jefferson County,01073,Jefferson County,01073,Jefferson County,01073,Jefferson County,01073,Jefferson County,01073,Jefferson County,01073,Jefferson County,01073,Jefferson County,01073,Jefferson County,01073,Jefferson County,01073,Jefferson County,01073,Jefferson County,13121,Fulton County,13121,Fulton County,13121,Fulton County,13121,Fulton County,48113,Dallas County,36061,New York County,36061,New York County,36061,New York County
01075,Lamar County,01075,Lamar County,01075,Lamar County,01075,Lamar County,01075,Lamar County,28087,Lowndes County,28087,Lowndes County,28087,Lowndes County,28087,Lowndes County,28081,Lee County,28081,Lee County,47157,Shelby County,47157,Shelby County,47157,Shelby County,47157,Shelby County,47157,Shelby County,13121,Fulton County,48113,Dallas County,36061,New York County,36061,New York County,36061,New York County
01077,Lauderdale County,01077,Lauderdale County,01077,Lauderdale County,01077,Lauderdale County,01077,Lauderdale County,01077,Lauderdale County,01077,Lauderdale County,01077,Lauderdale County,01077,Lauderdale County,01089,Madison County,01089,Madison County,01073,Jefferson County,01073,Jefferson County,13121,Fulton County,13121,Fulton County,13121,Fulton County,13121,Fulton County,48113,Dallas County,36061,New York County,36061,New York County,36061,New York County
01079,Lawrence County,01103,Morgan County,01103,Morgan County,01103,Morgan County,01103,Morgan County,01089,Madison County,01089,Madison County,01089,Madison County,01089,Madison County,01089,Madison County,01089,Madison County,01073,Jefferson County,01073,Jefferson County,13121,Fulton County,13121,Fulton County,13121,Fulton County,13121,Fulton County,48113,Dallas County,36061,New York County,36061,New York County,36061,New York County
01081,Lee County,01081,Lee County,01081,Lee County,01081,Lee County,01081,Lee County,13215,Muscogee County,13215,Muscogee County,13215,Muscogee County,13215,Muscogee County,13215,Muscogee County,13215,Muscogee County,13121,Fulton County,13121,Fulton County,13121,Fulton County,13121,Fulton County,13121,Fulton County,13121,Fulton County,48113,Dallas County,36061,New York County,36061,New York County,36061,New York County
01083,Limestone County,01083,Limestone County,01089,Madison County,01089,Madison County,01089,Madison County,01089,Madison County,01089,Madison County,01089,Madison County,01089,Madison County,01089,Madison County,01089,Madison County,01073,Jefferson County,01073,Jefferson County,13121,Fulton County,13121,Fulton County,13121,Fulton County,13121,Fulton County,48113,Dallas County,36061,New York County,36061,New York County,36061,New York County
01085,Lowndes County,01085,Lowndes County,01101,Montgomery County,01101,Montgomery County,01101,Montgomery County,01101,Montgomery County,01101,Montgomery County,01101,Montgomery County,01101,Montgomery County,01101,Montgomery County,01101,Montgomery County,01073,Jefferson County,01073,Jefferson County,13121,Fulton County,13121,Fulton County,13121,Fulton County,13121,Fulton County,48113,Dallas County,36061,New York County,36061,New York County,36061,New York County
01087,Macon County,01087,Macon County,01087,Macon County,01081,Lee County,01081,Lee County,13215,Muscogee County,13215,Muscogee County,13215,Muscogee County,13215,Muscogee County,13215,Muscogee County,13215,Muscogee County,13121,Fulton County,13121,Fulton County,13121,Fulton County,13121,Fulton County,13121,Fulton County,13121,Fulton County,48113,Dallas County,36061,New York County,36061,New York County,36061,New York County
01089,Madison County,01089,Madison County,01089,Madison County,01089,Madison County,01089,Madison County,01089,Madison County,01089,Madison County,01089,Madison County,01089,Madison County,01089,Madison County,01089,Madison County,01073,Jefferson County,01073,Jefferson County,13121,Fulton County,13121,Fulton County,13121,Fulton County,13121,Fulton County,48113,Dallas County,36061,New York County,36061,New York County,36061,New York County
01091,Marengo County,01091,Marengo County,01091,Marengo County,01091,Marengo County,01091,Marengo County,01091,Marengo County,01025,Clarke County,01025,Clarke County,01025,Clarke County,01073,Jefferson County,01073,Jefferson County,01073,Jefferson County,01073,Jefferson County,13121,Fulton County,13121,Fulton County,13121,Fulton County,13121,Fulton County,48113,Dallas County,36061,New York County,36061,New York County,36061,New York County
