node_code,node_name,center_1_code,center_1_name,center_2_code,center_2_name,center_3_code,center_3_name,center_4_code,center_4_name,center_5_code,center_5_name,center_6_code,center_6_name,center_7_code,center_7_name,center_8_code,center_8_name,center_9_code,center_9_name,center_10_code,center_10_name,center_11_code,center_11_name,center_12_code,center_12_name,center_13_code,center_13_name,center_14_code,center_14_name,center_15_code,center_15_name,center_16_code,center_16_name,center_17_code,center_17_name,center_18_code,center_18_name,center_19_code,center_19_name,center_20_code,center_20_name
001018,Baldissero Torinese,001018,Baldissero Torinese,001018,Baldissero Torinese,001272,Torino,001272,Torino,001272,Torino,001272,Torino,001272,Torino,001272,Torino,001272,Torino,001272,Torino,001272,Torino,001272,Torino,001272,Torino,001272,Torino,015146,Milano,015146,Milano,015146,Milano,015146,Milano,015146,Milano,015146,Milano
001019,Balme,,,,,,,,,,,,,001272,Torino,001272,Torino,001272,Torino,001272,Torino,001272,Torino,001272,Torino,001272,Torino,001272,Torino,015146,Milano,015146,Milano,015146,Milano,015146,Milano,015146,Milano,015146,Milano
001020,Banchette,001125,Ivrea,001125,Ivrea,001125,Ivrea,001125,Ivrea,001125,Ivrea,001125,Ivrea,001125,Ivrea,001272,Torino,001272,Torino,001272,Torino,001272,Torino,001272,Torino,001272,Torino,001272,Torino,015146,Milano,015146,Milano,015146,Milano,015146,Milano,015146,Milano,015146,Milano
001021,Barbania,001021,Barbania,001021,Barbania,001021,Barbania,001086,Ciriè,001272,Torino,001272,Torino,001272,Torino,001272,Torino,001272,Torino,001272,Torino,001272,Torino,001272,Torino,001272,Torino,001272,Torino,015146,Milano,015146,Milano,015146,Milano,015146,Milano,015146,Milano,015146,Milano
001022,Bardonecchia,001022,Bardonecchia,001022,Bardonecchia,001022,Bardonecchia,001022,Bardonecchia,001175,Oulx,001175,Oulx,001175,Oulx,001272,Torino,001272,Torino,001272,Torino,001272,Torino,001272,Torino,001272,Torino,001272,Torino,015146,Milano,015146,Milano,015146,Milano,015146,Milano,015146,Milano,015146,Milano
001023,Barone Canavese,001023,Barone Canavese,001047,Caluso,001047,Caluso,001047,Caluso,001125,Ivrea,001125,Ivrea,001125,Ivrea,001272,Torino,001272,Torino,001272,Torino,001272,Torino,001272,Torino,001272,Torino,001272,Torino,015146,Milano,015146,Milano,015146,Milano,015146,Milano,015146,Milano,015146,Milano
001024,Beinasco,001024,Beinasco,001024,Beinasco,001272,Torino,001272,Torino,001272,Torino,001272,Torino,001272,Torino,001272,Torino,001272,Torino,001272,Torino,001272,Torino,001272,Torino,001272,Torino,001272,Torino,015146,Milano,015146,Milano,015146,Milano,015146,Milano,015146,Milano,015146,Milano
001025,Bibiana,001025,Bibiana,001025,Bibiana,001025,Bibiana,001191,Pinerolo,001191,Pinerolo,001191,Pinerolo,001272,Torino,001272,Torino,001272,Torino,001272,Torino,001272,Torino,001272,Torino,001272,Torino,001272,Torino,015146,Milano,015146,Milano,015146,Milano,015146,Milano,015146,Milano,015146,Milano
001026,Bobbio Pellice,,,,,001139,Luserna San Giovanni,001139,Luserna San Giovanni,001191,Pinerolo,001191,Pinerolo,001272,Torino,001272,Torino,001272,Torino,001272,Torino,001272,Torino,001272,Torino,001272,Torino,001272,Torino,015146,Milano,015146,Milano,015146,Milano,015146,Milano,015146,Milano,015146,Milano
001027,Bollengo,001027,Bollengo,001125,Ivrea,001125,Ivrea,001125,Ivrea,001125,Ivrea,001125,Ivrea,001125,Ivrea,001272,Torino,001272,Torino,001272,Torino,001272,Torino,001272,Torino,001272,Torino,001272,Torino,015146,Milano,015146,Milano,015146,Milano,015146,Milano,015146,Milano,015146,Milano
